Nodo6 CPU 10%,Nodo6 Memory 10%,Nodo6 CPU 20%,Nodo6 Memory 20%,Nodo6 CPU 30%,Nodo6 Memory 30%,Nodo6 CPU 40%,Nodo6 Memory 40%,Nodo6 CPU 50%,Nodo6 Memory 50%,Nodo6 CPU 60%,Nodo6 Memory 60%,Nodo6 CPU 70%,Nodo6 Memory 70%,Nodo6 CPU 80%,Nodo6 Memory 80%,Nodo6 CPU 90%,Nodo6 Memory 90%,Nodo6 CPU 100%,Nodo6 Memory 100%
0.0020357142857192,773971968,0.0034642857143061,733483008,0.0042142857142826,737857536,0.0049642857142817,742264832,0.0052500000000079,745922560,0.0054166666666463,749850624,0.0062738095238268,753872896,0.0071785714285678,757846016,0.0080952380952431,761761792,0.0082976190476128,765325312
0.0016428571428486,773971968,0.0033690476190385,733532160,0.0041309523809402,737906688,0.004702380952388,742301696,0.0052976190476247,745963520,0.0061904761904824,749895680,0.0066904761904663,753909760,0.0072619047618922,757923840,0.007904761904753,761806848,0.0088333333333317,765341696
0.0020357142857145,773971968,0.0032738095238252,733581312,0.0042023809523857,737955840,0.0044047619047543,742359040,0.0054880952380937,746012672,0.005964285714303,749944832,0.0067499999999941,753958912,0.0070952380952438,757960704,0.0079404761904632,761843712,0.0085119047619213,765341696
0.001678571428575,773971968,0.0035595238094967,733626368,0.0040714285714351,738004992,0.0044999999999861,742395904,0.0056309523809545,746065920,0.006261904761899,750002176,0.006630952380952,753999872,0.0074999999999964,757997568,0.0075000000000075,761884672,0.0084999999999888,765403136
0.0019404761904733,773971968,0.0034285714285753,733696000,0.0040476190476048,738054144,0.0045833333333575,742440960,0.0052857142857002,746098688,0.0062261904761964,750043136,0.0066190476190513,753963008,0.0074880952380976,758046720,0.0072142857142999,761921536,0.0082023809523767,765485056
0.001595238095242,773971968,0.0034880952380939,733745152,0.0037976190476293,738103296,0.0045952380952239,742477824,0.0052261904761767,746168320,0.0060238095238048,750092288,0.0068571428571531,753975296,0.007345238095236,758091776,0.007964285714279,761954304,0.0078095238095302,765554688
0.0018690476190488,773971968,0.0031309523809557,733794304,0.004154761904777,738152448,0.0051785714285715,742514688,0.0051428571428617,746225664,0.0062023809523696,750137344,0.0065357142856942,754016256,0.0073214285714349,758132736,0.0076190476190544,761995264,0.008511904761897,765583360
0.0015952380952317,773971968,0.0032500000000002,733880320,0.0039523809523613,738201600,0.0049285714285835,742547456,0.0054285714285781,746246144,0.0065000000000179,750178304,0.0066071428571474,754130944,0.0076428571428631,758173696,0.0077738095237992,762032128,0.0087500000000112,765571072
0.0017857142857156,773971968,0.0035119047619099,733978624,0.0041309523809621,738250752,0.0047380952380917,742580224,0.0053214285714126,746176512,0.0065714285714259,750235648,0.0067619047619083,754208768,0.0070357142857073,758202368,0.0077380952380992,762052608,0.0083214285714275,765566976
0.0016904761904908,773971968,0.0033571428571341,734027776,0.0039404761904731,738299904,0.0045952380952058,742649856,0.005047619047622,746115072,0.0061190476190425,750284800,0.0068452380952503,754266112,0.0074999999999926,758251520,0.0081666666666676,762081280,0.0080238095238003,765677568
